County Name,Unemployment Rate,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Jackson, Alabama",5.8,16,4.6,4.7,76,3,36.4,83,19.2,273.5,14.5,100.1,2.3
"Jefferson, Alabama",5.1,18,5.4,5,63.7,4,53.7,74,37.4,717.4,15.9,575.9,1.7
"Lamar, Alabama",6.9,22.3,4.3,4.2,63.5,2,None,48,23.9,129.3,28.6,13.9,1.4
"Lauderdale, Alabama",6.1,17.2,5,5.7,72.6,3,44.6,85,27.6,179.6,11.3,177.9,2
"Lawrence, Alabama",5,17.5,4.7,4.2,78.7,3,None,100,17.4,41.7,18.6,21.1,4.2
"Lee, Alabama",4.4,22,6,3.4,62.7,4,50.1,84,39.8,218.2,8.6,133.2,1.2
"Limestone, Alabama",4.8,14.7,4.7,2.5,75.1,4,35.4,86,29.8,123.6,19.3,66.3,1.1
"Lowndes, Alabama",10.3,26.7,5.7,3.7,58.6,3,59.2,68,19.4,554.5,32.6,9.3,1.9
"Macon, Alabama",7,27.3,5.4,2.5,62,2,72.1,83,25.1,625.4,14,55.5,2.5
"Madison, Alabama",4.8,12.8,5,3.8,74.7,4,45.3,79,46.1,542.9,12.2,270.8,1.3
"Marengo, Alabama",3.3,24,6,11.2,90.8,3,None,None,34.2,124.3,21.6,0,0
"Marion, Alabama",5.2,20.9,4.4,3,59.1,1,None,None,19.9,224.5,21.7,0,3
"Marshall, Alabama",5.2,19.5,4.9,4.7,71.8,3,23.6,85,23,227.9,23.1,111,2.2
"Mobile, Alabama",6,19.8,5.2,4.4,65.2,4,48.1,68,28.5,597.1,18.7,275.2,1.7
"Monroe, Alabama",4.2,28.6,6.3,3.2,81.2,2,None,88,20.5,57.2,29.1,31.7,0
"Montgomery, Alabama",5.4,21.2,5.4,5.1,63.2,4,50.8,64,37.2,367.5,16.7,268.4,1.6
"Morgan, Alabama",5.2,15.7,4.8,4.5,74.2,3,38.1,76,27.3,232.8,17.5,139.6,1.4
"Perry, Alabama",8.3,25.6,5.5,12.2,71,3,None,None,20.8,None,None,17.5,1.7
"Pickens, Alabama",5.9,27.2,5.9,6.2,67.8,3,60.9,81,17.1,225.5,20.8,46.4,2.1
"Pike, Alabama",6.9,27.6,6.4,2.5,77.3,2,None,None,13.1,27,6.1,25.2,1.3
"Randolph, Alabama",8.1,24.5,5.1,2.8,68.1,3,None,83,21.2,242.3,24,21.2,2.1
"Russell, Alabama",5.3,22,5.2,3.4,62.6,3,37.1,66,24.7,457.7,23,45.4,1.7
"St. Clair, Alabama",4.7,15.2,4.1,3,74.1,4,44.4,77,23,183.5,20.2,33.6,1.5
"Shelby, Alabama",3.6,7.9,4.1,4.5,74.2,4,53.9,89,47.6,176.9,8.9,249.8,1.4
"Sumter, Alabama",7.3,38,5.7,3.7,59.9,2,80.8,73,20.4,437.4,None,45,2.2
"Talladega, Alabama",5.7,22.9,5,3.1,68,3,43.5,78,20.5,301.7,27,63.9,1.1
"Tallapoosa, Alabama",5.7,19.8,4.7,2.4,70.5,4,37.5,78,24.2,423.1,20.3,121.3,1.7
"Tuscaloosa, Alabama",4.7,18.9,5.3,4.2,65.8,4,43.5,73,33.1,432.3,12.3,231.6,1.2
"Walker, Alabama",6.3,20.9,4.7,4.1,75.1,3,27.1,79,18.3,297.1,25.5,126,1.4
"Washington, Alabama",2.2,18.4,5.1,18.3,78.2,4,None,None,20.6,36,26,110.1,3.7
"Wilcox, Alabama",3.3,39.2,6.8,8.2,78.6,4,None,None,28.7,87.3,44.4,81.6,5.4
"Winston, Alabama",7.4,24,4.8,9.3,46.5,3,None,73,26,412.3,21.7,243.3,2.3
"Apache, Arizona",12.6,36.2,6.2,1.3,79,2,40.7,64,17.9,94.2,34.1,65.4,1
"Cochise, Arizona",7.1,17.1,4.9,2.6,70.2,4,33.9,83,32.3,607.6,15,85.6,1.4
"Coconino, Arizona",5.7,23,5.1,2.5,62.6,4,47.1,75,40,376.4,10.4,248,1.5
"Gila, Arizona",2.9,21.6,4.2,14.9,77.8,3,None,None,32.7,134.1,25.1,111.9,14.9
"Graham, Arizona",2.6,22.3,4.5,13.6,76.7,3,None,None,21.6,31.8,31.9,58.5,1.9
"Greenlee, Arizona",5.6,16,3.7,14.3,69.9,3,None,88,22.4,438.1,None,0,5.7
"La Paz, Arizona",5.9,19.4,3.9,5.7,78.9,3,None,83,13.7,149.5,None,19.1,5.7
"Maricopa, Arizona",4.8,16.7,4.5,3,61.8,4,35.2,78,38.1,398.5,16,236.4,1.2
"Mohave, Arizona",7.5,19.4,4,2.6,65.3,4,35.5,76,19.5,193.3,23.3,119.3,1
"Navajo, Arizona",9,30.3,5.5,2,71.4,3,44.4,78,23.2,375.1,35.9,112.7,1.3
"Pima, Arizona",5.1,19.2,4.8,2.6,62.2,4,36.8,73,38,446.6,14.7,351.4,1.3
"Pinal, Arizona",6,15.6,3.7,1.6,65.2,4,29,73,27.3,214.8,27.7,32.5,0.7
"Santa Cruz, Arizona",6.9,26.3,5.6,4.3,71.8,2,None,93,14.2,403.4,16,25.8,2.6
"Yavapai, Arizona",5.2,15.8,4.1,3.1,61.8,4,36.4,78,33.1,332.1,16.3,165.7,1.5
"Yuma, Arizona",22.2,20.2,4,2,65,4,38.6,75,21.2,351.6,21.2,124.7,1.6
