County Name,Unemployment Rate,Median Household Income,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Aleutians East, Alaska",2.8,57330,16.7,3.6,0,82.6,5,78.6,None,15.9,None,None,0,11.9
"Aleutians West, Alaska",3.9,76615,9.2,3.9,1.8,72.9,4,78.3,None,19.1,317.3,None,0,7
"Anchorage , Alaska",5.3,72497,7.9,3.8,3.1,65.8,4,33.8,73,41,823.2,11.9,313.3,1.2
"Bethel , Alaska",16.6,48381,22.8,4.5,1.7,76,3,48.3,44,15,None,36.7,101.1,12.4
"Bristol Bay, Alaska",7.1,74441,None,3,3.7,79.5,2,None,None,24,35.4,None,0,3.7
"Denali, Alaska",6.6,67860,None,None,5.4,66.2,2,None,92,15.6,24.2,None,10.8,2.2
"Dillingham, Alaska",10.4,50685,18.1,5,2,75.1,3,61,None,23.5,None,32.7,180.4,12
"Fairbanks North, Alaska",5.7,64793,8.4,3.9,4.3,64.2,4,24.7,66,38.7,None,9.6,184.5,0.8
"Haines , Alaska",10.9,49483,None,None,3.9,70.2,3,85.7,None,35.2,413.8,None,194.6,11.7
"Hoonah-Angoon, Alaska",4.5,46374,14.9,4.8,15.4,77.4,5,None,None,32.5,152.6,None,77,7.7
"Juneau, Alaska",5,76275,6.2,3.1,6.1,69.3,5,48.5,70,43.8,425.5,11.5,232.9,1.5
"Kenai Peninsula, Alaska",8.5,57838,8.6,4.4,3,72.7,4,33.6,79,31.2,None,15.8,145.4,3
"Ketchikan Gateway, Alaska",7.9,58518,10.2,3.8,8.8,71,4,55.3,77,32.6,351.6,28.7,167.9,2.9
"Kodiak Island, Alaska",2,64320,11.7,3.9,32,88,4,None,None,28,None,None,0,16
"Lake and Peninsula, Alaska",15.9,48472,21.1,4.7,0,79.4,3,75.4,None,19,None,20.4,0,12
"Matanuska-Susitna, Alaska",8.5,66491,9.9,4.1,1.9,68.3,4,32.7,72,30.2,None,20.8,104.3,1.1
"Nome, Alaska",13.4,46776,27.7,5,2,72,3,59.2,61,21.4,None,32.7,80.9,16.2
"North Slope, Alaska",5.6,75592,10.3,3.4,1,88.7,4,49.1,58,22.7,813.4,25.9,30.8,9.2
"Northwest Arctic, Alaska",17.1,57664,22,4.5,1.3,75.3,3,48.4,53,14,None,45.7,52,9.1
"Petersburg, Alaska",4.7,59842,None,5.3,3,79,4,None,None,25.3,78.7,None,30,3
"Prince of Wales-Hyder, Alaska",4.5,43123,15.1,4.5,8.2,77.9,3,None,None,28.4,68.8,22.4,103,2.1
"Sitka , Alaska",5.1,64963,10,4,1.6,62.8,3,None,58,19,296.4,None,24,0.8
"Skagway, Alaska",14.4,67080,None,None,9.9,67.4,3,94.7,None,None,None,None,0,19.8
"Southeast Fairbanks, Alaska",6.5,53166,13.3,4.8,9.7,64,4,None,None,45.2,37.7,20,0,5.5
"Valdez-Cordova, Alaska",10.5,70086,8.3,4.6,6.1,82.1,4,70.1,87,33.6,343.6,25.1,71.6,8.2
"Wade Hampton, Alaska",26.4,37605,31.4,4,0,81,2,62.8,44,7.8,None,38.1,0,18.9
"Wrangell, Alaska",4,42907,None,3.8,8.1,61.1,5,None,98,65.1,138.6,None,304.9,5.2
"Yakutat , Alaska",9.1,67860,None,2.9,3,65.3,2,None,93,16.8,None,None,40.1,4
"Yukon-Koyukuk, Alaska",18.8,32489,24.2,5.6,0,75.1,2,76.2,53,14.4,None,34.5,35.4,19.5
"Apache, Arizona",12.6,29462,36.2,6.2,1.3,79,2,40.7,64,17.9,94.2,34.1,65.4,1
"Cochise, Arizona",7.1,42827,17.1,4.9,2.6,70.2,4,33.9,83,32.3,607.6,15,85.6,1.4
"Coconino, Arizona",5.7,46384,23,5.1,2.5,62.6,4,47.1,75,40,376.4,10.4,248,1.5
"Gila, Arizona",2.9,37397,21.6,4.2,14.9,77.8,3,None,None,32.7,134.1,25.1,111.9,14.9
"Graham, Arizona",2.6,42067,22.3,4.5,13.6,76.7,3,None,None,21.6,31.8,31.9,58.5,1.9
"Greenlee, Arizona",5.6,44921,16,3.7,14.3,69.9,3,None,88,22.4,438.1,None,0,5.7
"La Paz, Arizona",5.9,33486,19.4,3.9,5.7,78.9,3,None,83,13.7,149.5,None,19.1,5.7
"Maricopa, Arizona",4.8,50166,16.7,4.5,3,61.8,4,35.2,78,38.1,398.5,16,236.4,1.2
"Mohave, Arizona",7.5,36691,19.4,4,2.6,65.3,4,35.5,76,19.5,193.3,23.3,119.3,1
"Navajo, Arizona",9,34564,30.3,5.5,2,71.4,3,44.4,78,23.2,375.1,35.9,112.7,1.3
"Pima, Arizona",5.1,42907,19.2,4.8,2.6,62.2,4,36.8,73,38,446.6,14.7,351.4,1.3
"Pinal, Arizona",6,46825,15.6,3.7,1.6,65.2,4,29,73,27.3,214.8,27.7,32.5,0.7
"Santa Cruz, Arizona",6.9,35329,26.3,5.6,4.3,71.8,2,None,93,14.2,403.4,16,25.8,2.6
"Yavapai, Arizona",5.2,40236,15.8,4.1,3.1,61.8,4,36.4,78,33.1,332.1,16.3,165.7,1.5
"Yuma, Arizona",22.2,38933,20.2,4,2,65,4,38.6,75,21.2,351.6,21.2,124.7,1.6
"Arkansas, Arkansas",3.3,37097,15.8,4.1,0.9,82.3,3,None,83,12.2,469.3,17.7,73.1,3.7
"Ashley, Arkansas",8,33399,18.9,4.8,7.5,76.1,3,49.7,82,16.4,275.7,25.3,65.9,1.9
"Baxter, Arkansas",6.1,33081,15.5,4,6.3,70.6,3,73.6,85,24.4,100,19.3,253.7,1.2
"Benton, Arkansas",4.1,51026,12.2,4.1,4.7,75.1,4,33.3,85,34.4,270.5,14.2,128.1,1.3
"Boone, Arkansas",2.4,36042,16.6,4.1,7.6,70.8,3,None,None,38.7,None,23.2,75.8,7.6
"Bradley, Arkansas",7.1,28463,31.3,5.1,6.3,70.2,5,None,71,41,304.7,29.3,198.2,5.2
"Calhoun, Arkansas",5.9,28997,14.9,4.4,5.7,75.7,2,75,None,14.1,132.9,None,19.2,0
"Carroll, Arkansas",10.6,34243,18.8,4.2,3.9,67.6,2,None,68,19.2,48.6,23.1,9.7,1
"Chicot, Arkansas",9.6,24524,33,5.5,7.9,66.4,3,72.7,83,15.3,494.6,33.6,97,3.5
"Clark, Arkansas",5.7,30627,24.3,5.5,5.3,69.3,4,64.3,84,28.9,390.7,11.7,79.3,1.3
"Clay, Arkansas",6.9,29486,20.2,4.3,5.2,74.1,3,75.7,87,14.2,87.1,24.1,32.7,2.6
"Cleburne, Arkansas",7.9,37670,15.8,4.6,3.1,66.9,2,None,None,18.2,189.8,None,0,1.6
"Cleveland, Arkansas",4.7,36897,17.7,4.6,16.1,80.9,5,None,None,27.5,None,None,107.5,8.1
"Columbia, Arkansas",6.5,32880,25.4,6,6.6,71.8,2,53.6,88,27.8,323.9,10.7,90.7,1.2
"Conway, Arkansas",6.4,32971,24,5.1,5.7,71,3,40.5,85,19.1,262.3,22,89.7,1.9
"Craighead, Arkansas",4.6,38744,20.6,5,4.9,70.9,2,50.5,87,29.8,368.6,15,304,2.2
"Crawford, Arkansas",5.7,36952,20.2,4.3,5,73.1,3,44.6,89,22.1,354.3,23.3,71.4,1.5
"Crittenden, Arkansas",6.4,35335,26.3,5.2,3.8,63.9,3,48.7,80,19.2,1764.5,20.49,84.4,2
"Cross, Arkansas",5.9,35648,17.4,4.4,6.9,72,3,67.2,87,15.9,331.3,23.8,57.1,1.7
"Dallas, Arkansas",7.8,27079,19.7,5.2,8.8,70.2,3,88.1,93,15.3,364.8,None,63.1,3.8
"Desha, Arkansas",8.1,26845,30.1,5.6,8,67.8,3,70.1,86,16.6,830.8,None,48,3.2
"Drew, Arkansas",7.1,29176,28.5,6.2,7.5,66.1,2,71.9,90,23.5,421.9,None,53.4,1.1
"Faulkner, Arkansas",5,47094,14.6,4.4,5,71.2,4,38.3,88,33.9,299.6,8.7,128.2,0.9
"Franklin, Arkansas",3.7,34413,20.5,4.7,7.2,76.3,3,None,None,31.7,49.4,None,24.1,2.4
"Fulton, Arkansas",8.7,33249,18.7,4.1,2.2,62.7,2,None,73,20.5,None,None,43.2,1.1
"Garland, Arkansas",5.6,36656,20.7,5,6.9,68.7,3,50.3,84,28.7,490.9,20.3,249.3,1.8
"Grant, Arkansas",5,45868,9.9,4,2.3,76.9,3,None,None,24.6,290.8,None,0,2.3
"Greene, Arkansas",5.5,35955,17.1,4.7,4.6,71.3,3,57,87,19.2,296,22.2,85.9,1.4
"Hempstead, Arkansas",5.2,30004,27.4,5,4,67.9,2,50.5,82,20.7,592.5,25.8,49.1,1.8
"Hot Spring, Arkansas",5.3,38557,14.2,4.2,4.2,75.1,2,50.1,90,20.8,None,20,29.9,1.8
"Howard, Arkansas",4.3,33583,23.2,4.3,7.4,73.6,2,61.7,93,16.6,269.2,None,59.1,2.2
"Independence, Arkansas",6.3,32784,23.7,4.6,5.4,69.9,2,56,91,20.1,503.7,15,198.1,1.9
"Izard, Arkansas",4.2,28699,18.7,4.3,7.2,78,4,None,93,28.5,155.4,23.7,143,2.4
"Jackson, Arkansas",8.4,28346,28.4,4.6,4.5,72.3,2,62.6,90,13.9,411.1,35.4,84.9,1.7
"Jefferson, Arkansas",7.6,34763,23.9,5.3,4.2,68.2,3,56.3,78,22.7,969.1,19.3,197,2.3
"Johnson, Arkansas",2.6,29019,20.1,4.3,14.3,73.3,4,None,None,25.7,144.7,20.1,71.7,0
"Lafayette, Arkansas",7.9,27829,24.1,5.6,6.9,73.4,2,66.7,None,14.2,143.3,None,27.6,2.8
"Lawrence, Arkansas",5.8,30176,25.4,4.3,7.6,68.6,4,None,None,22.6,57.6,None,25.4,2.5
"Lee, Arkansas",7.3,23432,31.5,5.9,2,61,2,64,73,11.7,198.1,34.1,29.9,1
"Lincoln, Arkansas",2.5,30604,27,5.7,15.5,77,4,None,None,33.4,50.9,44.7,103.4,5.2
"Little River, Arkansas",5.6,37134,14,4.4,4.7,81.9,3,62.2,90,18.3,205.1,None,54.9,1.6
"Logan, Arkansas",6.4,32756,17.6,4.2,6.3,77.7,3,56.3,92,17.8,240.9,None,49.8,0.9
"Lonoke, Arkansas",4.5,49217,13.2,4.1,4.5,76.5,3,50.3,88,26.4,350,18.3,29.6,1
"Madison, Arkansas",4.2,33482,22.6,4.6,4.5,76.1,3,45.3,93,13.2,285.3,21.7,38.2,2.5
"Marion, Arkansas",8.6,32286,18.9,4,3,73.4,1,None,78,12.4,429.4,None,45,1.5
"Miller, Arkansas",5.4,38675,19.5,4.9,4.1,72.1,3,46.7,85,19,750.9,27.5,108.3,1.6
"Mississippi, Arkansas",9.3,34097,24.9,5.7,5.1,69,3,48.5,78,20,791.5,26.1,69.3,2.7
"Monroe, Arkansas",5.9,25518,28.8,5.6,7.8,70.3,2,71.5,87,18.2,345.4,None,78.3,3.9
"Montgomery, Arkansas",7.6,29339,22,4.3,2.8,72.1,3,None,None,24.3,161.6,24.1,0,5.7
"Nevada, Arkansas",9.8,31538,26.5,5,3.4,65.1,2,None,63,16.5,1113.4,None,57.4,2.3
"Newton, Arkansas",7,28116,23.5,4.8,2.6,67.7,2,None,88,11.2,44.4,None,26.1,2.6
"Ouachita, Arkansas",7.2,29966,23.1,4.9,5.6,71.2,3,70.8,86,22.2,345.6,25.4,76,2.4
"Perry, Arkansas",8.1,39738,15.6,4.4,0,75.3,3,None,95,15.3,None,None,0,0
"Phillips, Arkansas",7.7,25026,33.5,5.2,4.9,62.9,2,62,75,21.5,1134.7,32.14,78.3,3.4
"Pike, Arkansas",17,30145,24.8,4.8,5.2,84.8,4,None,None,36.3,None,None,0,0
"Poinsett, Arkansas",5.6,30035,28.1,5,5.4,70.2,3,41,79,13.1,398.9,26.8,16.5,2.5
"Polk, Arkansas",6,30734,23.1,4.4,5.4,71.5,3,50.8,94,20.3,296,19.7,108.1,2
"Pope, Arkansas",5.4,37864,19.3,4.3,5.7,72,2,54,84,25.4,263.7,12.9,125.9,1.1
"Prairie, Arkansas",4.9,32624,21.2,4.4,6,77.2,3,51.7,None,13.8,84.3,None,0,4.8
"Pulaski, Arkansas",4.9,43068,17.2,5,6.8,66.9,4,57,75,37.6,1068.4,16.44,686.8,1.6
"Randolph, Arkansas",7.2,32215,21.8,4.7,4,77.5,4,49.8,89,19.3,25,None,68.1,2.3
"St. Francis, Arkansas",7.5,28897,28.4,5.2,5.9,63.6,3,59.1,76,17.7,512.9,26.7,73.3,3.3
"Saline, Arkansas",4.6,51806,8.6,3.7,3.6,77.5,3,45.8,86,30.2,252.9,16.3,99.8,1
"Scott, Arkansas",6.2,35051,20,4.5,0,51,3,None,None,32.2,189.4,32.8,286.1,14.3
"Searcy, Arkansas",6.4,28809,26.1,4.9,5,74.2,3,62.6,94,18.4,126.4,None,62.6,3.8
"Sebastian, Arkansas",5.4,37881,21.2,4.6,6.4,69.9,4,36.7,79,26.9,601.7,17.9,289.5,1.7
"Sevier, Arkansas",3.2,32903,24.4,4,6.5,71.8,2,None,None,38.9,73.4,None,65,3.9
"Sharp, Arkansas",1.8,28886,23.9,4.3,7.1,82.2,3,None,None,29.2,43.8,19.4,70.6,7.1
"Stone, Arkansas",2.8,27923,25.5,4.8,9.9,79.9,4,None,None,25,None,None,66.3,6.6
"Union, Arkansas",6.7,35039,21.5,5.5,6.4,72.8,2,59,84,24.2,597.1,23.5,194.2,1.5
"Van Buren, Arkansas",6.4,30436,24.5,4.5,2.9,74.3,3,None,70,25.7,680.5,35.7,79.9,1.7
"Washington, Arkansas",3.8,38608,20.7,5,4.6,66.3,4,45,86,33.2,422.8,8,234.8,1.7
"White, Arkansas",6.6,39768,17.5,4.8,5.6,72.5,3,42.9,87,24.7,244.8,11.9,117,1.5
"Woodruff, Arkansas",7.2,26450,24.3,5.3,4.5,68.8,3,None,98,18.8,259.6,29.9,15,1.5
"Yell, Arkansas",5.3,33261,22.7,4.7,4.6,72.7,3,56.5,88,12.4,239.9,22.8,82.5,0.9
"Alameda, California",4.5,67497,12.5,5.4,2.7,55.9,5,57.8,81,48.5,723.5,12.5,309.4,2.5
"Alpine, California",8.8,54883,None,5.6,0,63.7,5,93.8,None,38.8,719.2,None,173.9,0
"Amador, California",5.9,50248,12.6,4.4,3.8,82.1,3,None,None,23.3,70.5,25.6,38.5,3.8
"Butte, California",6.8,40952,20.4,4.8,4.5,55.6,4,44.3,86,34.1,304.1,14.7,196.5,2.1
"Calaveras, California",3,51756,10.9,4.4,7,69,3,None,None,34.5,69.6,20.9,0,14.1
"Colusa, California",15.8,48820,12.5,3.7,3.7,64.1,4,49,86,23,215.9,19.8,37.3,5.6
"Contra Costa, California",4.7,73716,10.5,4.8,3.1,55.7,5,57.5,84,47.1,396.6,13.7,281.4,1.9
"Del Norte, California",8.6,35483,21.8,5.8,2.5,56.4,4,41.1,90,20.8,492.6,28.2,129.4,2.9
"El Dorado, California",5.6,64862,9,4.5,2.9,56.9,5,57.5,94,42.3,241.2,12.1,206,2.1
"Fresno, California",10.2,42647,26,5,2.3,54.8,4,39.6,83,27.3,543.1,18.7,201.7,2.6
"Glenn, California",9.1,40270,18.8,5.2,3.2,60.5,3,45.9,87,21.8,254.2,20.2,25.1,2.9
"Humboldt, California",5.4,38775,20.4,4.7,3.6,54.2,4,48,89,36.4,333.8,14.6,187.2,3.2
"Imperial, California",21.2,39131,23.3,5.6,1.8,56.7,3,51.1,85,19.9,304,21.8,72.1,1.9
"Inyo, California",5.6,41929,12.8,4.7,4.9,65.7,3,59.9,78,29.7,393.1,17.5,206.3,2.7
"Kern, California",10.3,45445,22.9,5,1.8,58.2,4,34.9,82,22,561.1,22.6,125.8,2.2
"Kings, California",10.8,45053,21,4.4,1.6,59.6,3,36.5,81,20.5,397.9,22.4,90.1,1.9
"Lake, California",7.1,34209,25,4.9,2.3,49.4,4,51.6,91,26.1,512.3,33.5,109.6,3.6
"Lassen, California",7.5,49708,16.9,4.3,2.5,62.9,4,43.2,86,23.2,353.3,53.3,71.4,2.5
"Los Angeles, California",7.1,52331,17.8,5.3,2.5,48.2,4,54.2,79,36.6,473.9,14.4,283.7,2.1
"Madera, California",10.4,42705,22.8,4.3,1.7,54.3,3,36.1,86,21.5,521.4,23.3,116.3,2.4
"Marin, California",3.3,85026,7.7,5.5,4.6,55.3,5,66.9,93,60.9,202.7,11.4,554.8,2.7
"Mariposa, California",4.7,46632,16.1,5,5.4,80.6,3,None,93,26.9,97.4,None,13.5,1.3
"Mendocino, California",5.5,40687,20,4.9,3.3,53.7,3,42.5,84,31.2,501.4,20.9,197.8,5.6
"Merced, California",11.6,39865,25.4,4.6,1.7,56.4,3,38.3,92,19.5,603.7,19,104.8,2.5
"Modoc, California",6.9,33895,21,4.8,3.9,74.3,3,None,None,18,58.6,None,39.3,2
"Mono, California",3.5,57805,None,3.3,11.6,74.4,3,None,91,None,68.3,None,0,0
"Monterey, California",7.6,55381,17,4.5,2.6,51.8,4,41.3,82,30.7,464.3,17.6,179.9,3
"Napa, California",4.1,65935,10.1,4.3,4.3,56,4,51.9,88,40.5,383.6,10.2,321.5,3.2
"Nevada, California",5.3,53683,12,4.5,3.5,52.5,5,63.2,89,42.9,275.6,13,224.9,3.2
"Orange, California",4.1,70595,12.4,4.6,3.1,53.3,5,51.1,91,44.6,221.1,10.8,309.2,1.8
"Placer, California",4.8,68071,8.7,4.4,4.4,57,5,54.2,92,46.2,203.4,10.4,316.9,1.8
"Plumas, California",3.2,42863,15.2,4.9,13.7,84.7,5,None,None,39.2,72.2,None,0,6.8
"Riverside, California",6.2,52911,16.2,4.5,1.9,51.5,5,36.2,84,28.2,305.5,17.7,118.5,1.5
"Sacramento, California",5.7,51540,17.6,4.6,2.5,54.7,4,44.6,82,37.3,558.6,16.2,293.3,2
"San Benito, California",7.8,61998,11.9,4.2,2.3,50.2,4,41.5,88,26.3,373.1,16.1,67.7,1.9
"San Bernardino, California",6.1,50628,18.7,4.6,1.8,52.4,4,38.6,83,26.8,430.5,18.6,179.8,1.5
"San Diego, California",4.8,58933,14.4,4.8,2.8,51.4,5,48.9,86,43.7,367,11.8,302.5,2.1
"San Francisco, California",3.4,70766,13.5,6.8,5,57,4,69.9,82,57.8,702.7,8.9,780.6,4.6
"San Joaquin, California",8.8,49964,18.2,4.7,2.4,53.8,4,40.7,82,27,839.2,18.8,157.6,2.4
"San Luis Obispo, California",4.3,54941,14.3,4.7,4.2,53.3,4,50.8,92,40.9,281.9,6.9,264.9,2.8
"San Mateo, California",3.2,82557,7.6,4.6,3.2,56.7,5,61.9,88,52,235.5,9.6,432,2.4
"Santa Barbara, California",4.6,58761,16,4.9,3.5,53.4,4,47.5,88,39.5,400.5,8.3,249.3,3.1
"Santa Clara, California",3.8,85833,10.2,4.9,2.8,59.1,5,57.4,87,53.7,262.1,10.7,392.9,2
"Santa Cruz, California",7.8,62262,14.6,5.2,2.8,50.9,4,49.7,90,45.8,443.4,7.9,251.6,2.9
"Shasta, California",7.7,41793,17.5,4.6,3.5,56.1,4,42.1,90,29.8,757,16.4,223.9,2.1
"Sierra, California",3.6,36513,None,None,6.5,74.3,3,None,93,27.4,338.8,None,193.8,3.2
"Siskiyou, California",9.2,35296,21,4.7,6.2,56.6,3,61.8,90,33,293.5,23.1,143.9,4.3
"Solano, California",5.8,62878,13,4.3,2.5,55,5,44.5,81,34.1,445.6,15.5,199.4,1.7
